,State Abbv,State,variable,value
158,CO,Colorado,F13214,-0.0
159,CT,Connecticut,F13214,-0.0
160,DC,Washington D.C.,F13214,0.0
161,DE,Delaware,F13214,-0.0
162,FL,Florida,F13214,-0.019458588555278142
163,GA,Georgia,F13214,-0.004351508145202282
164,HI,Hawaii,F13214,-0.0
165,IA,Iowa,F13214,0.0
166,ID,Idaho,F13214,-0.0
167,IL,Illinois,F13214,-0.0
168,IN,Indiana,F13214,-0.0
169,KS,Kansas,F13214,-0.0
170,KY,Kentucky,F13214,0.0
171,LA,Louisiana,F13214,-0.020712846493325898
172,MA,Massachusetts,F13214,-0.0
173,MD,Maryland,F13214,-0.0
174,ME,Maine,F13214,-0.0
175,MI,Michigan,F13214,-0.0
176,MN,Minnesota,F13214,-0.19362882497481215
177,MO,Missouri,F13214,-0.0
178,MS,Mississippi,F13214,-0.0
179,MT,Montana,F13214,0.03252914586466967
180,NC,North Carolina,F13214,-0.14038454420492347
181,ND,North Dakota,F13214,-0.0
182,NE,Nebraska,F13214,0.0
183,NH,New Hampshire,F13214,-0.0
184,NJ,New Jersey,F13214,-0.03062710164597156
185,NM,New Mexico,F13214,-0.0
186,NV,Nevada,F13214,-0.0
187,NY,New York,F13214,-0.01347011834306091
188,OH,Ohio,F13214,-0.0
189,OK,Oklahoma,F13214,-0.0
190,OR,Oregon,F13214,0.0
191,PA,Pennsylvania,F13214,0.0
192,RI,Rhode Island,F13214,0.0
193,SC,South Carolina,F13214,-0.019255561340682317
194,SD,South Dakota,F13214,-0.00563203356321974
195,TN,Tennessee,F13214,0.0
196,TX,Texas,F13214,-0.0
197,UT,Utah,F13214,-0.0
198,VA,Virginia,F13214,-0.0
199,VT,Vermont,F13214,0.13767616052994378
200,WA,Washington,F13214,0.0
201,WI,Wisconsin,F13214,-0.0
202,WV,West Virginia,F13214,0.008678280674855663
203,WY,Wyoming,F13214,-0.0
204,AK,Alaska,F13220,0.02254417124331317
205,AL,Alabama,F13220,0.06103241927280202
206,AR,Arkansas,F13220,0.11942970859574598
207,AZ,Arizona,F13220,0.0
208,CA,California,F13220,-0.0
209,CO,Colorado,F13220,0.006548055284213268
210,CT,Connecticut,F13220,-0.0
211,DC,Washington D.C.,F13220,0.0
212,DE,Delaware,F13220,-0.0
213,FL,Florida,F13220,-0.0
214,GA,Georgia,F13220,-0.17217249163143825
215,HI,Hawaii,F13220,-0.0
216,IA,Iowa,F13220,0.005039492134511536
217,ID,Idaho,F13220,-0.009237450685739574
218,IL,Illinois,F13220,-0.0
219,IN,Indiana,F13220,-0.0
220,KS,Kansas,F13220,-0.0
221,KY,Kentucky,F13220,-0.0
222,LA,Louisiana,F13220,-0.0
223,MA,Massachusetts,F13220,0.09998061522164464
224,MD,Maryland,F13220,0.0
225,ME,Maine,F13220,-0.0
226,MI,Michigan,F13220,0.12173861411100013
227,MN,Minnesota,F13220,0.0
228,MO,Missouri,F13220,-0.0
229,MS,Mississippi,F13220,-0.0
230,MT,Montana,F13220,0.02115082188850667
231,NC,North Carolina,F13220,0.0
232,ND,North Dakota,F13220,0.2517347430767313
233,NE,Nebraska,F13220,-0.0
234,NH,New Hampshire,F13220,0.0
235,NJ,New Jersey,F13220,-0.0
236,NM,New Mexico,F13220,0.0
237,NV,Nevada,F13220,-0.0
238,NY,New York,F13220,-0.0
239,OH,Ohio,F13220,-0.05013274627451451
240,OK,Oklahoma,F13220,-0.0
241,OR,Oregon,F13220,-0.0
242,PA,Pennsylvania,F13220,0.0
243,RI,Rhode Island,F13220,0.0
244,SC,South Carolina,F13220,-0.0
245,SD,South Dakota,F13220,0.0
246,TN,Tennessee,F13220,-0.0
247,TX,Texas,F13220,-0.0
248,UT,Utah,F13220,-0.0
249,VA,Virginia,F13220,-0.0
250,VT,Vermont,F13220,0.034886795990841914
251,WA,Washington,F13220,-0.16135777746518604
252,WI,Wisconsin,F13220,-0.0
253,WV,West Virginia,F13220,-0.0044666818391865025
254,WY,Wyoming,F13220,-0.11186934148613713
255,AK,Alaska,F11984,0.0
256,AL,Alabama,F11984,-0.0
257,AR,Arkansas,F11984,-0.0
258,AZ,Arizona,F11984,-0.0
259,CA,California,F11984,-0.0
260,CO,Colorado,F11984,-0.0
261,CT,Connecticut,F11984,-0.0
262,DC,Washington D.C.,F11984,0.0
263,DE,Delaware,F11984,-0.0
264,FL,Florida,F11984,-0.0
265,GA,Georgia,F11984,-0.0
266,HI,Hawaii,F11984,-0.0
267,IA,Iowa,F11984,-0.0
268,ID,Idaho,F11984,-0.0
269,IL,Illinois,F11984,-0.0
270,IN,Indiana,F11984,-0.0
271,KS,Kansas,F11984,-0.0
272,KY,Kentucky,F11984,-0.0
273,LA,Louisiana,F11984,-0.0
274,MA,Massachusetts,F11984,-0.0
275,MD,Maryland,F11984,-0.0
276,ME,Maine,F11984,-0.0
277,MI,Michigan,F11984,-0.0
278,MN,Minnesota,F11984,-0.0
279,MO,Missouri,F11984,-0.0
280,MS,Mississippi,F11984,-0.0
281,MT,Montana,F11984,-0.0
282,NC,North Carolina,F11984,-0.0
283,ND,North Dakota,F11984,-0.0
284,NE,Nebraska,F11984,-0.0
285,NH,New Hampshire,F11984,-0.0
286,NJ,New Jersey,F11984,-0.0
287,NM,New Mexico,F11984,0.0
288,NV,Nevada,F11984,-0.0
289,NY,New York,F11984,-0.0
290,OH,Ohio,F11984,-0.0
291,OK,Oklahoma,F11984,-0.0
292,OR,Oregon,F11984,0.0
293,PA,Pennsylvania,F11984,-0.0
294,RI,Rhode Island,F11984,0.0
295,SC,South Carolina,F11984,-0.0
296,SD,South Dakota,F11984,-0.0
297,TN,Tennessee,F11984,-0.0
298,TX,Texas,F11984,-0.0
299,UT,Utah,F11984,-0.0
300,VA,Virginia,F11984,-0.0
301,VT,Vermont,F11984,-0.0
302,WA,Washington,F11984,-0.0
303,WI,Wisconsin,F11984,-0.0
304,WV,West Virginia,F11984,-0.0
305,WY,Wyoming,F11984,-0.0
306,AK,Alaska,F11396,0.0
307,AL,Alabama,F11396,-0.0
308,AR,Arkansas,F11396,-0.0
309,AZ,Arizona,F11396,-0.0
310,CA,California,F11396,-0.0
311,CO,Colorado,F11396,-0.0
312,CT,Connecticut,F11396,-0.0
313,DC,Washington D.C.,F11396,0.0
314,DE,Delaware,F11396,-0.0
315,FL,Florida,F11396,-0.0
316,GA,Georgia,F11396,-0.0
317,HI,Hawaii,F11396,-0.0
318,IA,Iowa,F11396,-0.0
319,ID,Idaho,F11396,-0.0
320,IL,Illinois,F11396,-0.0
321,IN,Indiana,F11396,-0.0
322,KS,Kansas,F11396,-0.0
323,KY,Kentucky,F11396,-0.0
324,LA,Louisiana,F11396,-0.0
